Parameters:,10,0.05,0.9,7,0.5
Epoch,Train Loss,Validation Loss,Validation_Accuracy,Time
1,365.3697460889816,21.606981992721558,0.559375001833989,3.652188233534495
2,179.69944524765015,12.851777255535126,0.712884614100823,3.431977943579356
3,147.53149461746216,9.575012981891632,0.7993269241773165,3.4250827471415204
4,130.16642081737518,9.749258995056152,0.7911057701477637,3.419901676972707
5,126.04913103580475,8.407489776611328,0.8283653855323792,3.4174651662508646
6,121.70358997583389,7.834646224975586,0.8345673084259033,3.4241745114326476
7,115.23658114671707,7.700998604297638,0.8315865397453308,3.423118321100871
8,109.70821407437325,7.886812776327133,0.8363942320530231,3.4162863969802855
9,83.35320618748665,5.280260972678661,0.8877403827813956,3.416310667991638
10,67.68605554103851,4.319564864039421,0.9069711520121648,3.421570328871409
